"filename", "language", "Batch", "Properties", "Markdown", "Rust", "Shell Script", "TOML", "ShaderLab", "comment", "blank", "total"
"c:\Rust\Isolation\Isolation-GoDot\Shaders\cel.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 66, 2, 18, 86
"c:\Rust\Isolation\Isolation-GoDot\Shaders\outline.shader", "ShaderLab", 0, 0, 0, 0, 0, 0, 12, 0, 3, 15
"c:\Rust\Isolation\Isolation-GoDot\export_presets.cfg", "Properties", 0, 91, 0, 0, 0, 0, 0, 0, 12, 103
"c:\Rust\Isolation\Modify.bat", "Batch", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Rust\Isolation\README.md", "Markdown", 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Rust\Isolation\compile.bat", "Batch", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Rust\Isolation\compile.sh", "Shell Script", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Rust\Isolation\isolation-lib\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 8, 0, 1, 3, 12
"c:\Rust\Isolation\isolation-lib\src\camera.rs", "Rust", 0, 0, 0, 25, 0, 0, 0, 20, 8, 53
"c:\Rust\Isolation\isolation-lib\src\helloworld.rs", "Rust", 0, 0, 0, 24, 0, 0, 0, 19, 7, 50
"c:\Rust\Isolation\isolation-lib\src\hud.rs", "Rust", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Rust\Isolation\isolation-lib\src\hud\dialogue.rs", "Rust", 0, 0, 0, 72, 0, 0, 0, 12, 5, 89
"c:\Rust\Isolation\isolation-lib\src\hud\dialogue_box.rs", "Rust", 0, 0, 0, 46, 0, 0, 0, 11, 3, 60
"c:\Rust\Isolation\isolation-lib\src\hud\use_obj.rs", "Rust", 0, 0, 0, 42, 0, 0, 0, 6, 1, 49
"c:\Rust\Isolation\isolation-lib\src\lib.rs", "Rust", 0, 0, 0, 16, 0, 0, 0, 16, 1, 33
"c:\Rust\Isolation\isolation-lib\src\player.rs", "Rust", 0, 0, 0, 233, 0, 0, 0, 45, 23, 301
"c:\Rust\Isolation\isolation-lib\src\player\missions.rs", "Rust", 0, 0, 0, 218, 0, 0, 0, 14, 13, 245
"c:\Rust\Isolation\isolation-lib\src\shadow.rs", "Rust", 0, 0, 0, 24, 0, 0, 0, 1, 2, 27
"Total", "-", 7, 91, 15, 703, 4, 8, 78, 147, 106, 1159